favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
75707,Twitter for iPhone,"b'.@foxandfriends  Dems are taking forever to approve my people, including Ambassadors. They are nothing but OBSTRUCTIONISTS! Want approvals.'",,False,Mon Jun 05 13:35:00 +0000 2017,19821,871722020278587393
74791,Twitter for iPhone,"b'Mainstream (FAKE) media refuses to state our long list of achievements, including 28 legislative signings, strong borders &amp; great optimism!'",,False,Sat Apr 29 17:39:48 +0000 2017,18474,858375278686613504
70489,Twitter for iPhone,b'Big TAX REFORM AND TAX REDUCTION will be announced next Wednesday.',,False,Sat Apr 22 16:15:01 +0000 2017,15676,855817226078879748
37870,Twitter for iPhone,b'....getting great border security and healthcare. #VoteRalphNorman tomorrow!',realDonaldTrump,False,Mon Jun 19 20:27:27 +0000 2017,7728,876899250071904256
82296,Twitter for iPhone,b'Today is one of the most important and solemn occasions of the year \xe2\x80\x93 the day we pay tribute to the Law Enforcement\xe2\x80\xa6 https://t.co/qrxwNjPF3K',,False,Tue May 15 18:39:58 +0000 2018,18348,996460197005717504
104159,Twitter for iPhone,b'....If a potential \xe2\x80\x9csicko shooter\xe2\x80\x9d knows that a school has a large number of very weapons talented teachers (and ot\xe2\x80\xa6 https://t.co/NTnUcZxrle',,False,Thu Feb 22 13:05:18 +0000 2018,24729,966660169194229761
55049,Twitter Ads,b'It is an exciting time for our country!\n#WeeklyAddress #ConfirmGorsuch https://t.co/tP4bkvTOBq',,False,Fri Mar 31 18:30:38 +0000 2017,12812,847878820220858369
92633,Twitter for iPhone,b'The Wall Street Journal stated falsely that I said to them \xe2\x80\x9cI have a good relationship with Kim Jong Un\xe2\x80\x9d (of N. Kor\xe2\x80\xa6 https://t.co/ZvyN9rhbFn',,False,Sun Jan 14 12:58:43 +0000 2018,21273,952525384242876416
60950,Twitter for iPhone,b'I requested that Mitch M &amp; Paul R tie the Debt Ceiling legislation into the popular V.A. Bill (which just passed) for easy approval. They...',,False,Thu Aug 24 12:19:45 +0000 2017,16413,900694112940290049
51138,Twitter for iPhone,"b""Biggest story today between Clapper &amp; Yates is on surveillance. Why doesn't the media report on this? #FakeNews!""",,False,Mon May 08 22:50:45 +0000 2017,13306,861715019674910721
66403,Twitter for iPhone,"b""The Democrats want to shut government if we don't bail out Puerto Rico and give billions to their insurance companies for OCare failure. NO!""",,False,Thu Apr 27 11:30:20 +0000 2017,16621,857557522584088576
98630,Twitter for iPhone,"b'Robert De Niro, a very Low IQ individual, has received too many shots to the head by real boxers in movies. I watch\xe2\x80\xa6 https://t.co/rWH1fl2vyd'",,False,Wed Jun 13 09:40:02 +0000 2018,19784,1006833565022031873
143245,Twitter for iPhone,b'Kanye West has performed a great service to the Black Community - Big things are happening and eyes are being opene\xe2\x80\xa6 https://t.co/DFbFcLSqsl',,False,Fri Apr 27 13:11:14 +0000 2018,33202,989854486310113282
88388,Twitter for iPhone,"b'Wonderful coordination between Federal, State and Local Governments in the Great State of Texas - TEAMWORK! Record setting rainfall.'",,False,Sat Aug 26 22:57:22 +0000 2017,17300,901579350662938624
95896,Twitter for iPhone,"b'....If this is done, illegal immigration will be stopped in it\xe2\x80\x99s tracks - and at very little, by comparison, cost.\xe2\x80\xa6 https://t.co/HDii4VkUNc'",,False,Mon Jun 25 12:54:25 +0000 2018,22484,1011231137233080321
158574,Twitter for iPhone,"b'Fake News Media had me calling Immigrants, or Illegal Immigrants, \xe2\x80\x9cAnimals.\xe2\x80\x9d Wrong! They were begrudgingly forced t\xe2\x80\xa6 https://t.co/rNvS7poZl1'",,False,Fri May 18 10:51:43 +0000 2018,42409,997429518867591170
69483,Twitter for iPhone,"b'Thank you to FEMA, our great Military &amp; all First Responders who are working so hard,against terrible odds,in Puerto Rico. See you Tuesday!'",,False,Fri Sep 29 13:30:27 +0000 2017,13276,913757869627133953
83421,Twitter for iPhone,b'James Comey just threw Andrew McCabe \xe2\x80\x9cunder the bus.\xe2\x80\x9d Inspector General\xe2\x80\x99s Report on McCabe is a disaster for both o\xe2\x80\xa6 https://t.co/EGXMB6QIkW',,False,Thu Apr 19 22:46:06 +0000 2018,21128,987100052710674433
83721,Twitter for iPhone,"b'Why was the FBI\xe2\x80\x99s sick loser, Peter Strzok, working on the totally discredited Mueller team of 13 Angry &amp; Conflicte\xe2\x80\xa6 https://t.co/Nb5PYNpKyf'",,False,Mon Jun 18 00:42:04 +0000 2018,21104,1008510118395293699
131257,Twitter for iPhone,"b'A vote for Democrats in November is a vote to let MS-13 run wild in our communities, to let drugs pour into our cit\xe2\x80\xa6 https://t.co/Z8xxDFwyMe'",,False,Fri Jul 06 00:44:17 +0000 2018,33421,1015033658548207616
81956,Twitter for iPhone,b'I will be making a major statement from the @WhiteHouse upon my return to D.C. Time and date to be set.',,False,Tue Nov 14 06:23:12 +0000 2017,18467,930320191699017730
49733,Twitter for iPhone,"b'On behalf of all Americans, I want to wish Jewish families many blessings in the New Year. https://t.co/m4VWxYvONx https://t.co/iYG1G8GaLN'",,False,Wed Sep 20 22:29:44 +0000 2017,11260,910632095088889857
52191,Twitter for iPhone,"b""Will be at the Women's U.S. Open today!""",,False,Sat Jul 15 16:33:34 +0000 2017,6341,886262474277888002
56964,Twitter Web Client,b'A great honor to host and welcome leaders from around America to the @WhiteHouse Infrastructure Summit.\xe2\x80\xa6 https://t.co/5f6cN3HboQ',,False,Fri Jun 09 18:48:54 +0000 2017,11524,873250570508922880
136339,Twitter for iPhone,"b'Happy birthday to U.S. ARMY and our soldiers. Thank you for your bravery, sacrifices, &amp; dedication. Proud to be your Commander-in-Chief!'",,False,Wed Jun 14 14:07:31 +0000 2017,27966,874991696186142721
95627,Twitter for iPhone,b'Stock Market just hit another record high! Jobs looking very good.',,False,Tue Oct 24 14:35:32 +0000 2017,18104,922833943749103621
49800,Twitter for iPhone,b'The Pittsburgh Post Gazette just endorsed Rick Saccone for Congress. He will be much better for steel and business.\xe2\x80\xa6 https://t.co/ZCmxt9gOQS',realDonaldTrump,False,Mon Mar 12 14:43:36 +0000 2018,12575,973207890084401152
133947,Twitter for iPhone,"b'Mexico was just ranked the second deadliest country in the world, after only Syria. Drug trade is largely the cause. We will BUILD THE WALL!'",,False,Thu Jun 22 22:15:39 +0000 2017,40924,878013639613186049
161271,Twitter for iPhone,"b'Congratulations to Maxine Waters, whose crazy rants have made her, together with Nancy Pelosi, the unhinged FACE of\xe2\x80\xa6 https://t.co/CusnE1izm7'",,False,Wed Jun 27 11:18:02 +0000 2018,38400,1011931656230526976
76667,Twitter for iPhone,b'Farm Bill just passed in the House. So happy to see work requirements included. Big win for the farmers!',,False,Thu Jun 21 20:46:10 +0000 2018,15765,1009900306694656002
99389,Twitter for iPhone,b'The Gridiron Dinner last night was great fun. I am accomplishing a lot in Washington and have never had a better ti\xe2\x80\xa6 https://t.co/BZHVReTuYi',,False,Sun Mar 04 17:42:03 +0000 2018,19086,970353692938469377
86511,Twitter for iPhone,"b'\xe2\x80\x9cJohn Brennan, no single figure in American history has done more to discredit the intelligence community than this\xe2\x80\xa6 https://t.co/DETDPIYoeT'",,False,Sat Jun 02 12:06:47 +0000 2018,23486,1002884227753480193
102385,Twitter for iPhone,b'The people of Iran are finally acting against the brutal and corrupt Iranian regime. All of the money that Presiden\xe2\x80\xa6 https://t.co/AjDsIsx0Gk',,False,Tue Jan 02 12:09:17 +0000 2018,26778,948164289591902208
29392,Twitter for iPhone,"b'...your Social Security and Medicare! Cast your early vote, or vote on August 7th, Election Day. He has my full and total Endorsement!'",realDonaldTrump,False,Mon Jul 30 22:28:21 +0000 2018,5901,1024059145564160000
102792,Twitter for iPhone,b'Camp David is a very special place. An honor to have spent the weekend there. Military runs it so well and are so proud of what they do!',,False,Sun Jun 18 21:51:39 +0000 2017,16944,876558049565188096
82792,Twitter for iPhone,b'This whole Russia Probe is Rigged. Just an excuse as to why the Dems and Crooked Hillary lost the Election and Stat\xe2\x80\xa6 https://t.co/VctDHQf9VQ',,False,Sat May 26 19:41:50 +0000 2018,21316,1000462031500099584
76687,Twitter for iPhone,"b'...Maybe the best thing to do would be to cancel all future ""press briefings"" and hand out written responses for the sake of accuracy???'",,False,Fri May 12 12:07:36 +0000 2017,17499,863002719400976384
69330,Twitter for iPhone,"b'Presidents and their administrations have been talking to North Korea for 25 years, agreements made and massive amounts of money paid......'",,False,Sat Oct 07 19:40:17 +0000 2017,16726,916750042014404608
79162,Twitter for iPhone,"b'\xe2\x80\x9cWe already have a smoking gun about a campaign getting dirt on their opponent, it was Hillary Clinton. How is it O\xe2\x80\xa6 https://t.co/qiLsNEdAct'",,False,Wed Aug 01 15:56:31 +0000 2018,21649,1024685313778741250
71747,Twitter for iPhone,"b'GREAT EVENING last night in Pensacola, Florida. Arena was packed to the rafters, the crowd was loud, loving and rea\xe2\x80\xa6 https://t.co/I0mrbhZT3g'",,False,Sat Dec 09 12:41:39 +0000 2017,13151,939475127552618496
37168,Twitter for iPhone,b'I will be interviewed on @FaceTheNation this morning at 10:00 A.M. Have a great day!',,False,Sun Apr 30 11:33:12 +0000 2017,5465,858645405252374528
66416,Twitter for iPhone,b'Working on major Trade Deal with the United Kingdom. Could be very big &amp; exciting. JOBS! The E.U. is very protectionist with the U.S. STOP!',,False,Tue Jul 25 12:16:34 +0000 2017,15351,889821674987761664
77073,Twitter for iPhone,"b'KAREN HANDEL FOR CONGRESS. She will fight for lower taxes, great healthcare strong security-a hard worker who will never give up! VOTE TODAY'",,False,Tue Jun 20 10:02:06 +0000 2017,19879,877104262463008771
59049,Twitter for iPhone,"b'We will always ENFORCE our laws, PROTECT our borders, and SUPPORT our police! #LESM\nHarrisburg, Pennsylvania\xe2\x80\xa6 https://t.co/qLH19jIBs0'",,False,Fri Jul 28 16:13:21 +0000 2017,13094,890968428370153472
65891,Twitter for iPhone,"b'... Supreme Court pick, economic enthusiasm, deregulation &amp; so much more have driven the Trump base even closer together. Will never change!'",,False,Mon Aug 07 11:09:36 +0000 2017,13501,894515865802223616
44025,Twitter for iPhone,"b'""Dow Passes 23,000 for the First Time, Fueled by Strong Earnings""\n#Dow23K\xf0\x9f\x93\x88https://t.co/wnkrddYlb9 https://t.co/wlP0NCNcou'",,False,Tue Oct 17 16:16:28 +0000 2017,10770,920322631412473856
91338,Twitter for iPhone,"b'My highly respected nominee for CIA Director, Gina Haspel, has come under fire because she was too tough on Terrori\xe2\x80\xa6 https://t.co/sPDbQc2rmd'",,False,Mon May 07 11:04:47 +0000 2018,24307,993446539988217857
