favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
75707,Twitter for iPhone,"b'.@foxandfriends  Dems are taking forever to approve my people, including Ambassadors. They are nothing but OBSTRUCTIONISTS! Want approvals.'",realDonaldTrump,FALSE,Mon Jun 05 13:35:00 +0000 2017,19821,8.71722E+17
74791,Twitter for iPhone,"b'Mainstream (FAKE) media refuses to state our long list of achievements, including 28 legislative signings, strong borders &amp; great optimism!'",realDonaldTrump,FALSE,Sat Apr 29 17:39:48 +0000 2017,18474,8.58375E+17
70489,Twitter for iPhone,b'Big TAX REFORM AND TAX REDUCTION will be announced next Wednesday.',realDonaldTrump,FALSE,Sat Apr 22 16:15:01 +0000 2017,15676,8.55817E+17
37870,Twitter for iPhone,b'....getting great border security and healthcare. #VoteRalphNorman tomorrow!',realDonaldTrump,FALSE,Mon Jun 19 20:27:27 +0000 2017,7728,8.76899E+17
82296,Twitter for iPhone,b'Today is one of the most important and solemn occasions of the year \xe2\x80\x93 the day we pay tribute to the Law Enforcement\xe2\x80\xa6 https://t.co/qrxwNjPF3K',realDonaldTrump,FALSE,Tue May 15 18:39:58 +0000 2018,18348,9.9646E+17
104159,Twitter for iPhone,b'....If a potential \xe2\x80\x9csicko shooter\xe2\x80\x9d knows that a school has a large number of very weapons talented teachers (and ot\xe2\x80\xa6 https://t.co/NTnUcZxrle',realDonaldTrump,FALSE,Thu Feb 22 13:05:18 +0000 2018,24729,9.6666E+17
55049,Twitter Ads,b'It is an exciting time for our country!\n#WeeklyAddress #ConfirmGorsuch https://t.co/tP4bkvTOBq',realDonaldTrump,FALSE,Fri Mar 31 18:30:38 +0000 2017,12812,8.47879E+17
92633,Twitter for iPhone,b'The Wall Street Journal stated falsely that I said to them \xe2\x80\x9cI have a good relationship with Kim Jong Un\xe2\x80\x9d (of N. Kor\xe2\x80\xa6 https://t.co/ZvyN9rhbFn',realDonaldTrump,FALSE,Sun Jan 14 12:58:43 +0000 2018,21273,9.52525E+17
60950,Twitter for iPhone,b'I requested that Mitch M &amp; Paul R tie the Debt Ceiling legislation into the popular V.A. Bill (which just passed) for easy approval. They...',realDonaldTrump,FALSE,Thu Aug 24 12:19:45 +0000 2017,16413,9.00694E+17
51138,Twitter for iPhone,"b""Biggest story today between Clapper &amp; Yates is on surveillance. Why doesn't the media report on this? #FakeNews!""",realDonaldTrump,FALSE,Mon May 08 22:50:45 +0000 2017,13306,8.61715E+17
66403,Twitter for iPhone,"b""The Democrats want to shut government if we don't bail out Puerto Rico and give billions to their insurance companies for OCare failure. NO!""",realDonaldTrump,FALSE,Thu Apr 27 11:30:20 +0000 2017,16621,8.57558E+17
98630,Twitter for iPhone,"b'Robert De Niro, a very Low IQ individual, has received too many shots to the head by real boxers in movies. I watch\xe2\x80\xa6 https://t.co/rWH1fl2vyd'",realDonaldTrump,FALSE,Wed Jun 13 09:40:02 +0000 2018,19784,1.00683E+18
143245,Twitter for iPhone,b'Kanye West has performed a great service to the Black Community - Big things are happening and eyes are being opene\xe2\x80\xa6 https://t.co/DFbFcLSqsl',realDonaldTrump,FALSE,Fri Apr 27 13:11:14 +0000 2018,33202,9.89854E+17
88388,Twitter for iPhone,"b'Wonderful coordination between Federal, State and Local Governments in the Great State of Texas - TEAMWORK! Record setting rainfall.'",realDonaldTrump,FALSE,Sat Aug 26 22:57:22 +0000 2017,17300,9.01579E+17
95896,Twitter for iPhone,"b'....If this is done, illegal immigration will be stopped in it\xe2\x80\x99s tracks - and at very little, by comparison, cost.\xe2\x80\xa6 https://t.co/HDii4VkUNc'",ThePlumLineGS,FALSE,Mon Jun 25 12:54:25 +0000 2018,22484,1.01123E+18
158574,Twitter for iPhone,"b'Fake News Media had me calling Immigrants, or Illegal Immigrants, \xe2\x80\x9cAnimals.\xe2\x80\x9d Wrong! They were begrudgingly forced t\xe2\x80\xa6 https://t.co/rNvS7poZl1'",realDonaldTrump,FALSE,Fri May 18 10:51:43 +0000 2018,42409,9.9743E+17
69483,Twitter for iPhone,"b'Thank you to FEMA, our great Military &amp; all First Responders who are working so hard,against terrible odds,in Puerto Rico. See you Tuesday!'",realDonaldTrump,FALSE,Fri Sep 29 13:30:27 +0000 2017,13276,9.13758E+17
83421,Twitter for iPhone,b'James Comey just threw Andrew McCabe \xe2\x80\x9cunder the bus.\xe2\x80\x9d Inspector General\xe2\x80\x99s Report on McCabe is a disaster for both o\xe2\x80\xa6 https://t.co/EGXMB6QIkW',realDonaldTrump,FALSE,Thu Apr 19 22:46:06 +0000 2018,21128,9.871E+17
83721,Twitter for iPhone,"b'Why was the FBI\xe2\x80\x99s sick loser, Peter Strzok, working on the totally discredited Mueller team of 13 Angry &amp; Conflicte\xe2\x80\xa6 https://t.co/Nb5PYNpKyf'",realDonaldTrump,FALSE,Mon Jun 18 00:42:04 +0000 2018,21104,1.00851E+18
131257,Twitter for iPhone,"b'A vote for Democrats in November is a vote to let MS-13 run wild in our communities, to let drugs pour into our cit\xe2\x80\xa6 https://t.co/Z8xxDFwyMe'",realDonaldTrump,FALSE,Fri Jul 06 00:44:17 +0000 2018,33421,1.01503E+18
81956,Twitter for iPhone,b'I will be making a major statement from the @WhiteHouse upon my return to D.C. Time and date to be set.',realDonaldTrump,FALSE,Tue Nov 14 06:23:12 +0000 2017,18467,9.3032E+17
49733,Twitter for iPhone,"b'On behalf of all Americans, I want to wish Jewish families many blessings in the New Year. https://t.co/m4VWxYvONx https://t.co/iYG1G8GaLN'",realDonaldTrump,FALSE,Wed Sep 20 22:29:44 +0000 2017,11260,9.10632E+17
52191,Twitter for iPhone,"b""Will be at the Women's U.S. Open today!""",realDonaldTrump,FALSE,Sat Jul 15 16:33:34 +0000 2017,6341,8.86262E+17
